Empresa,sector,ventas_anuales,empleados,adopcion_tecnologica,tecnologias_utilizadas,proposito_hoy,proposito_18_anos,_latency_s
Harinas del Valle,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Convertirnos en líderes en producción y comercialización de harinas y productos derivados en Colombia y Suramérica.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector agroindustrial a nivel global.,2.5764
Colombina,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de productos de confitería en Colombia y expandir nuestra presencia en mercados internacionales.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector de la agroindustria a nivel global.,2.6208
Compañía Nacional de Chocolates,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ser líderes en la producción y comercialización de chocolates y productos de confitería en Colombia y Latinoamérica.,Consolidarnos como una de las empresas más importantes de consumo masivo en Colombia y expandir nuestra presencia en nuevos mercados internacionales.,2.5719
Zenú,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de productos alimenticios de alta calidad en Colombia y expandiendo nuestra presencia en mercados internacionales.,"Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector agroindustrial a nivel global, con un impacto positivo en las comunidades donde operamos.",2.6109
Noel,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción de alimentos en Colombia y mejorar la calidad de vida de nuestros colaboradores.,"Ser una empresa de alimentos líder en Latinoamérica, reconocida por su innovación y sostenibilidad.",2.5711
Doria,Manufactura,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción de textiles de alta calidad en Colombia.,"Ser una empresa global en el sector textil, reconocida por nuestra innovación y sostenibilidad.",2.5816
Rica Rondo,Manufactura,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en la producción de bienes manufacturados en Colombia, mejorando continuamente nuestra eficiencia y calidad.","Ser una empresa global en el sector manufacturero, reconocida por nuestra innovación y sostenibilidad en la producción.",2.5927
Friko,Manufactura,Mediana (alta) — $10.000–50.000 M,201-500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube,"En Friko nos enfocamos en la producción y comercialización de productos alimenticios de alta calidad, buscando satisfacer las necesidades de nuestros clientes y contribuir al desarrollo de la comunidad.","En 18 años, Friko será líder en la industria alimenticia colombiana, reconocida por su innovación, sostenibilidad y compromiso con la calidad y el bienestar de sus clientes y colaboradores.",2.6595
Pastas Comarrico,Manufactura,Mediana (alta) — $10.000–50.000 M,201-500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Computación en la nube; Ciberseguridad,"Ser líderes en la producción de pastas de alta calidad en Colombia, con un enfoque en la innovación y la satisfacción del cliente.","Consolidarnos como una de las empresas líderes en la industria de la pasta en América Latina, expandiendo nuestra presencia en nuevos mercados y diversificando nuestros productos.",2.6255
Alimentos Cárnicos,Agroindustria,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ser líderes en la producción y comercialización de alimentos cárnicos de alta calidad en Colombia.,Consolidarnos como una de las empresas más importantes en el sector de alimentos cárnicos en Latinoamérica.,2.5988
Fábrica de Licores de Antioquia,Manufactura,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Producir y comercializar licores de alta calidad que satisfagan las necesidades de los consumidores.,Ser líder en la industria de licores en Colombia y expandir nuestra presencia en mercados internacionales.,2.5749
Industria Licorera de Caldas,Manufactura,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en la producción de licores en Colombia, manteniendo la calidad y tradición de nuestros productos.",Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector de bebidas en Latinoamérica.,2.7488
Empresa de Licores de Cundinamarca,Manufactura,Mediana (alta) — $10.000–50.000 M,201-500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Consolidarnos como líderes en la producción de licores en Colombia, mejorando nuestra eficiencia y calidad.",Ser reconocidos como una de las empresas de licores más innovadoras y sostenibles de América Latina.,2.5596
Arroz Diana,Agroindustria,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de arroz en Colombia.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en la agroindustria colombiana.,2.853
Arroz Roa,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de arroz en Colombia,Ser reconocidos como una de las empresas más innovadoras y sostenibles en la agroindustria colombiana,2.5691
Fedearroz,Agroindustria,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de arroz en Colombia.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector agroindustrial de América Latina.,2.5813
Federación Nacional de Cafeteros,Agroindustria,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Promover la producción y comercialización de café colombiano de alta calidad.,Consolidarnos como líderes en la producción sostenible de café de alta calidad a nivel global.,2.5065
Procafecol (Juan Valdez),Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de café de alta calidad en Colombia y el mundo.,Ser reconocidos como una de las empresas más sostenibles y respetuosas con el medio ambiente en la industria del café a nivel global.,2.5907
Colcafé,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Colcafé busca mantener su liderazgo en la producción y comercialización de café en Colombia y el mundo, mediante la implementación de prácticas sostenibles y el uso eficiente de la tecnología.","En 18 años, Colcafé aspira a ser reconocida como una de las empresas más sostenibles y tecnológicas del sector agroindustrial a nivel global, con un impacto positivo en la vida de millones de personas.",2.7078
Buencafé Liofilizado,Agroindustria,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de café liofilizado en Colombia y expandir nuestra presencia en mercados internacionales.,"Ser reconocidos como una de las empresas más innovadoras y sostenibles en la industria del café a nivel global, con un portafolio diversificado de productos de alta calidad.",2.6161
Almacafé,Agroindustria,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de café en Colombia y el mundo.,Ser reconocidos como una de las empresas más sostenibles y responsables en la industria del café a nivel global.,2.5724
Tostao Café & Pan,Comercio,Mediana (baja) — $1.000–10.000 M,51-200,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Consolidarnos como líderes en el mercado de café y panadería en Colombia, ofreciendo productos de alta calidad y excelente servicio.","Ser una cadena de café y panadería reconocida internacionalmente, con presencia en varios países de Latinoamérica y una sólida reputación por innovación y sostenibilidad.",2.6007
Oma,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Oma, nos enfocamos en brindar soluciones innovadoras y de alta calidad en el sector de servicios, aprovechando las últimas tecnologías para mejorar la eficiencia y la satisfacción del cliente.","En 18 años, Oma será líder en la prestación de servicios integrales y tecnológicos a nivel nacional e internacional, reconocida por su innovación y compromiso con la sostenibilidad.",2.657
